Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,MVP,,
1,Charles Barkley,29,PHO,59,835,980,0.852,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,Y,,
2,Hakeem Olajuwon,30,HOU,22,647,980,0.66,82,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234,N,,
3,Michael Jordan,29,CHI,13,565,980,0.577,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27,N,,
4,Patrick Ewing,30,NYK,4,359,980,0.366,81,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17,N,,
5,Dominique Wilkins,33,ATL,0,54,980,0.055,71,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191,N,,
6,David Robinson,27,SAS,0,33,980,0.034,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197,N,,
7,Shaquille O'Neal,20,ORL,0,30,980,0.031,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,N,,
8T,Karl Malone,29,UTA,0,10,980,0.01,82,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238,N,,
8T,Mark Price,28,CLE,0,10,980,0.01,75,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197,N,,
10T,Brad Daugherty,27,CLE,0,1,980,0.001,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226,N,,
1,Michael Jordan,28,CHI,80,900,960,0.938,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,Y,,
2,Clyde Drexler,29,POR,12,561,960,0.584,76,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223,N,,
3,David Robinson,26,SAS,2,337,960,0.351,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26,N,,
4,Karl Malone,28,UTA,1,262,960,0.273,81,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237,N,,
5,Patrick Ewing,29,NYK,0,100,960,0.104,82,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198,N,,
6,Chris Mullin,28,GSW,0,81,960,0.084,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155,N,,
7,Mark Price,27,CLE,0,66,960,0.069,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205,N,,
8,Tim Hardaway,25,GSW,0,64,960,0.067,81,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132,N,,
9,Scottie Pippen,26,CHI,1,32,960,0.033,82,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192,N,,
10,Dennis Rodman,30,DET,0,26,960,0.027,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183,N,,
1,Michael Jordan,27,CHI,77,891,960,0.928,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321,Y,,
2,Magic Johnson,31,LAL,10,497,960,0.518,79,37.1,19.4,7,13,1.3,0.2,0.477,0.32,0.906,15.4,0.251,N,,
3,David Robinson,25,SAS,6,476,960,0.496,82,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264,N,,
4,Charles Barkley,27,PHI,2,222,960,0.231,67,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258,N,,
5,Karl Malone,27,UTA,0,142,960,0.148,82,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225,N,,
6,Clyde Drexler,28,POR,1,75,960,0.078,82,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209,N,,
7,Kevin Johnson,24,PHO,0,32,960,0.033,77,36,22.2,3.5,10,2.1,0.1,0.516,0.205,0.843,12.7,0.22,N,,
8,Dominique Wilkins,31,ATL,0,29,960,0.03,81,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177,N,,
9T,Larry Bird,34,BOS,0,25,960,0.026,60,38,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,0.14,N,,
9T,Terry Porter,27,POR,0,25,960,0.026,81,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235,N,,
1,Magic Johnson,30,LAL,27,636,920,0.691,79,37.2,22.3,6.6,12,1.7,0.4,0.48,0.384,0.89,16.5,0.27,Y,,
2,Charles Barkley,26,PHI,38,614,920,0.667,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269,N,,
3,Michael Jordan,26,CHI,21,564,920,0.613,82,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285,N,,
4,Karl Malone,26,UTA,2,214,920,0.233,82,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245,N,,
5,Patrick Ewing,27,NYK,1,162,920,0.176,82,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205,N,,
6,David Robinson,24,SAS,2,102,920,0.111,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241,N,,
7,Hakeem Olajuwon,27,HOU,1,64,920,0.07,82,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173,N,,
8,Tom Chambers,30,PHO,0,12,920,0.013,81,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176,N,,
9,John Stockton,27,UTA,0,9,920,0.01,78,37.4,17.2,2.6,15,2.7,0.2,0.514,0.416,0.819,14.4,0.238,N,,
10T,Larry Bird,33,BOS,0,5,920,0.005,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154,N,,
1,Magic Johnson,29,LAL,43,664.5,850,0.782,77,37.5,22.5,7.9,13,1.8,0.3,0.509,0.314,0.911,16.1,0.267,Y,,
2,Michael Jordan,25,CHI,28,598.8,850,0.704,81,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292,N,,
3,Karl Malone,25,UTA,5,362,850,0.426,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233,N,,
4,Patrick Ewing,26,NYK,8,200,850,0.235,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181,N,,
5,Hakeem Olajuwon,26,HOU,2,179.3,850,0.211,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197,N,,
6,Charles Barkley,25,PHI,0,94.3,850,0.111,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25,N,,
7,John Stockton,26,UTA,0,28,850,0.033,82,38.7,17.1,3,14,3.2,0.2,0.538,0.242,0.863,15.6,0.236,N,,
8,Kevin Johnson,22,PHO,0,22,850,0.026,81,39.2,20.4,4.2,12,1.7,0.3,0.505,0.091,0.882,12.2,0.184,N,,
9,Tom Chambers,29,PHO,0,20,850,0.024,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146,N,,
10,Mark Price,24,CLE,0,18,850,0.021,75,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199,N,,
1,Michael Jordan,24,CHI,47,665,800,0.831,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,Y,,
2,Larry Bird,31,BOS,16,527,800,0.659,76,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243,N,,
3,Magic Johnson,28,LAL,16,508,800,0.635,72,36.6,19.6,6.2,12,1.6,0.2,0.492,0.196,0.853,10.9,0.199,N,,
4,Charles Barkley,24,PHI,1,109,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253,N,,
5,Clyde Drexler,25,POR,0,86,800,0.108,81,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207,N,,
6,Dominique Wilkins,28,ATL,0,55,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16,N,,
7,Hakeem Olajuwon,25,HOU,0,40,800,0.05,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182,N,,
8,Karl Malone,24,UTA,0,36,800,0.045,82,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152,N,,
9,Fat Lever,27,DEN,0,26,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163,N,,
10,John Stockton,25,UTA,0,15,800,0.019,82,34.7,14.7,2.9,14,3,0.2,0.574,0.358,0.84,14.1,0.238,N,,
1,Magic Johnson,27,LAL,65,733,780,0.94,80,36.3,23.9,6.3,12,1.7,0.5,0.522,0.205,0.848,15.9,0.263,Y,,
2,Michael Jordan,23,CHI,10,449,780,0.576,82,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,N,,
3,Larry Bird,30,BOS,1,271,780,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243,N,,
4,Kevin McHale,29,BOS,0,254,780,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232,N,,
5,Dominique Wilkins,27,ATL,0,128,780,0.164,79,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197,N,,
6,Charles Barkley,23,PHI,1,113,780,0.145,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21,N,,
7,Hakeem Olajuwon,24,HOU,1,28,780,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189,N,,
8,Isiah Thomas,25,DET,0,17,780,0.022,81,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121,N,,
9,Fat Lever,26,DEN,0,11,780,0.014,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153,N,,
10,Moses Malone,31,WSB,0,9,780,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182,N,,
1,Larry Bird,29,BOS,73,765,780,0.981,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,Y,,
2,Dominique Wilkins,26,ATL,5,407,780,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,N,,
3,Magic Johnson,26,LAL,0,205,780,0.263,72,35.8,18.8,5.9,13,1.6,0.2,0.526,0.233,0.871,12.1,0.226,N,,
4,Hakeem Olajuwon,23,HOU,0,193,780,0.247,68,36.3,23.5,11.5,2,2,3.4,0.526,,0.645,9.5,0.186,N,,
5,Kareem Abdul-Jabbar,38,LAL,0,135,780,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197,N,,
6,Charles Barkley,22,PHI,0,133,780,0.171,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,N,,
7,Sidney Moncrief,28,MIL,0,56,780,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,N,,
8,Alex English,32,DEN,0,55,780,0.071,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156,N,,
9,Isiah Thomas,24,DET,0,28,780,0.036,77,36.2,20.9,3.6,11,2.2,0.3,0.488,0.31,0.79,8.8,0.151,N,,
10,Moses Malone,30,PHI,0,21,780,0.027,74,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157,N,,
1,Larry Bird,28,BOS,73,763,780,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,Y,,
2,Magic Johnson,25,LAL,1,264,780,0.338,77,36.1,18.3,6.2,13,1.5,0.3,0.561,0.189,0.843,12.7,0.22,N,,
3,Moses Malone,29,PHI,0,218,780,0.279,79,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,0.193,N,,
4,Kareem Abdul-Jabbar,37,LAL,0,206,780,0.264,79,33.3,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,0.204,N,,
5,Terry Cummings,23,MIL,2,138,780,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,0.189,N,,
6,Michael Jordan,21,CHI,2,134,780,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213,N,,
7,Bernard King,28,NYK,0,70,780,0.09,55,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166,N,,
8,Sidney Moncrief,27,MIL,0,65,780,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197,N,,
9,Isiah Thomas,23,DET,0,63,780,0.081,81,38.1,21.2,4.5,14,2.3,0.3,0.458,0.257,0.809,11.2,0.173,N,,
10,Ralph Sampson,24,HOU,0,26,780,0.033,82,37.6,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,0.096,N,,
1,Larry Bird,27,BOS,52,652,760,0.858,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,Y,,
2,Bernard King,27,NYK,11,373,760,0.491,77,34.6,26.3,5.1,2.1,1,0.2,0.572,0,0.779,12.1,0.218,N,,
3,Magic Johnson,24,LAL,5,305,760,0.401,67,38.3,17.6,7.3,13,2.2,0.7,0.565,0.207,0.81,10.2,0.191,N,,
4,Kareem Abdul-Jabbar,36,LAL,3,153,760,0.201,80,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,8.9,0.163,N,,
5,Isiah Thomas,22,DET,1,115,760,0.151,82,36.7,21.3,4,11,2.5,0.4,0.462,0.338,0.733,9.1,0.144,N,,
6,Julius Erving,33,PHI,1,98,760,0.129,77,34.8,22.4,6.9,4,1.8,1.8,0.512,0.333,0.754,10.1,0.18,N,,
7,Adrian Dantley,28,UTA,1,88,760,0.116,79,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,0.235,N,,
8,Sidney Moncrief,26,MIL,1,70,760,0.092,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198,N,,
9,Jeff Ruland,25,WSB,1,38,760,0.05,75,41.1,22.2,12.3,3.9,0.9,1,0.579,0.143,0.733,9.3,0.144,N,,
10,Moses Malone,28,PHI,0,35,760,0.046,71,36.8,22.7,13.4,1.4,1,1.5,0.483,0,0.75,9.5,0.175,N,,
1,Moses Malone,27,PHI,69,720,750,0.96,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248,Y,,
2,Larry Bird,26,BOS,1,364,750,0.485,79,37.7,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,14,0.225,N,,
3,Magic Johnson,23,LAL,2,304.5,750,0.406,79,36.8,16.8,8.6,11,2.2,0.6,0.548,0,0.8,12.5,0.207,N,,
4,Sidney Moncrief,25,MIL,0,226,750,0.301,76,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233,N,,
5,Julius Erving,32,PHI,3,112,750,0.149,72,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,0.217,N,,
6,Alex English,29,DEN,0,42,750,0.056,82,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,0.166,N,,
7,Buck Williams,22,NJN,0,40,750,0.053,82,36.1,17,12.5,1.5,1.1,1.3,0.588,0,0.62,11.4,0.185,N,,
8,Artis Gilmore,33,SAS,0,33,750,0.044,82,34.1,18,12,1.5,0.5,2.3,0.626,0,0.74,11,0.189,N,,
9,George Gervin,30,SAS,0,30,750,0.04,78,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,0.159,N,,
10,Kareem Abdul-Jabbar,35,LAL,0,15,750,0.02,79,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0,0.749,10.9,0.205,N,,
1,Moses Malone,26,HOU,40,507,690,0.735,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218,Y,,
2,Larry Bird,25,BOS,20,406,690,0.588,77,38,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.205,N,,
3,Julius Erving,31,PHI,1,203,690,0.294,81,34.4,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,13.3,0.229,N,,
4,Robert Parish,28,BOS,4,131,690,0.19,80,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0,0.71,10,0.19,N,,
5,Gus Williams,28,SEA,2,115,690,0.167,80,36,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.171,N,,
6,George Gervin,29,SAS,1,110,690,0.159,79,35.7,32.3,5,2.4,1,0.6,0.5,0.278,0.864,10.7,0.182,N,,
7,Sidney Moncrief,24,MIL,1,101,690,0.146,80,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216,N,,
8,Magic Johnson,22,LAL,0,67,690,0.097,78,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207,N,,
9,Jack Sikma,26,SEA,0,33,690,0.048,82,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199,N,,
10,Kareem Abdul-Jabbar,34,LAL,0,31,690,0.045,76,35.2,23.9,8.7,3,0.8,2.7,0.579,0,0.706,10.7,0.192,N,,
1,Julius Erving,30,PHI,28,454,690,0.658,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,Y,,
2,Larry Bird,24,BOS,20,423,690,0.613,82,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16,N,,
3,Kareem Abdul-Jabbar,33,LAL,8,286,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23,N,,
4,Moses Malone,25,HOU,8,180,690,0.261,80,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202,N,,
5,George Gervin,28,SAS,1,83,690,0.12,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182,N,,
6,Marques Johnson,24,MIL,1,73,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211,N,,
7,Robert Parish,27,BOS,0,53,690,0.077,82,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228,N,,
8,Dennis Johnson,26,PHO,0,50,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154,N,,
9,Tiny Archibald,32,BOS,0,32,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118,N,,
10,Jamaal Wilkes,27,LAL,0,19,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135,N,,
1,Kareem Abdul-Jabbar,32,LAL,147,147,221,0.665,82,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227,Y,,
2,Julius Erving,29,PHI,32,31.5,221,0.143,78,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,0.213,N,,
3,George Gervin,27,SAS,19,19,221,0.086,78,37.6,33.1,5.2,2.6,1.4,1,0.528,0.314,0.852,10.6,0.173,N,,
4,Larry Bird,23,BOS,15,15,221,0.068,82,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,N,,
5T,Tiny Archibald,31,BOS,2,2,221,0.009,80,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,0.148,N,,
5T,Dennis Johnson,25,SEA,2,2,221,0.009,81,36.3,19,5.1,4.1,1.8,1,0.422,0.207,0.78,7.4,0.12,N,,
5T,Dan Roundfield,26,ATL,2,2,221,0.009,81,32,16.5,10.3,2.3,1.2,1.7,0.499,0,0.71,9.1,0.169,N,,
8,Gus Williams,26,SEA,1.5,1.5,221,0.007,82,36.2,22.1,3.4,4.8,2.4,0.5,0.482,0.194,0.788,11.6,0.187,N,,
9,Moses Malone,24,HOU,1,1,221,0.005,82,38.3,25.8,14.5,1.8,1,1.3,0.502,0,0.719,11.9,0.183,N,,
1,Hakeem Olajuwon,31,HOU,66,889,1010,0.88,80,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,Y,,
2,David Robinson,28,SAS,24,730,1010,0.723,80,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,0.296,N,,
3,Scottie Pippen,28,CHI,7,390,1010,0.386,72,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194,N,,
4,Shaquille O'Neal,21,ORL,3,289,1010,0.286,81,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,0.252,N,,
5,Patrick Ewing,31,NYK,1,255,1010,0.252,79,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211,N,,
6,Gary Payton,25,SEA,0,20,1010,0.02,82,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,0.155,N,,
7T,Shawn Kemp,24,SEA,0,17,1010,0.017,79,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216,N,,
7T,Karl Malone,30,UTA,0,17,1010,0.017,82,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,0.193,N,,
9,Mark Price,29,CLE,0,7,1010,0.007,76,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,0.201,N,,
10,Charles Barkley,30,PHO,0,5,1010,0.005,65,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185,N,,
1,David Robinson,29,SAS,73,901,1050,0.858,81,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,Y,,
2,Shaquille O'Neal,22,ORL,12,605,1050,0.576,79,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23,N,,
3,Karl Malone,31,UTA,14,532,1050,0.507,82,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212,N,,
4,Patrick Ewing,32,NYK,2,230,1050,0.219,79,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,0.157,N,,
5,Hakeem Olajuwon,32,HOU,1,147,1050,0.14,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181,N,,
